27,37,2,2,2,1,107,3,1,4,1,5.41,4.8,5,6,5.75,5.86,5,7,2.83,4,1.67,3.5,3.17,3.83,3.33,3.75,2.5,4,5,3.25,2.6,3,3.25,2,2,2,2.33,2.83,2,1.5,5
29,45,2,3,2,1,150,1,2,2,1,6.35,5.8,7,6,7,4.14,4,4.33,4,4,4,2,1.17,2.83,3.33,2.5,2,2,2,3,1,3,2,3,2.67,1.5,2.33,2.58,4,1.75,2
32,49,2,2,1,1,8,1,1,3,0,5.12,5.4,6,3.6,6,2.14,1,3.67,2.83,3,2.67,3.33,3.83,2.83,3,4.5,2.5,3,1,2.5,1.4,2,2.75,3.5,2.33,1.25,2.67,2.33,2,1,4
35,27,1,1,4,0,85,4,2,2,1,5.35,5.2,5.33,5.4,5.5,5.71,5.5,6,2.67,3,2.33,3.08,1.83,4.33,3,3,4,4,5,3.75,2.4,3,2.75,5,3,3.75,3.67,2.31,3.25,1,2.67
35,27,2,1,5,2,80,2,1,1,0,5.24,4.8,5,5.2,6,5,4.25,6,3.67,3.33,4,3.17,2.17,4.17,3,3.5,3,3.67,5,3,2.4,3.5,3.25,4,2,3,3.67,2.17,3.5,1,2
38,25,1,1,3,1,40,3,2,2,1,5.71,6,5.67,5.2,6,3.86,4.5,3,3.17,3,3.33,3.5,2.17,4.83,4.33,4.75,3,5,4.5,4,4,5,5,5,2.33,4.5,3,2.94,2,3.5,3.33
40,40,2,4,7,2,240,4,3,2,1,5.53,5.2,5,5.8,6,4,4,4,1.67,1.67,1.67,2.67,2.33,3,4,3.25,2.5,4,5,4,4.4,5,3.5,3,3,3.5,4,2.33,3,1,3
43,37,2,1,5,4,100,4,1,2,1,5.53,5.4,5.33,5.8,5.5,4.14,3.5,5,3.33,2.33,4.33,3,1.83,4.17,4.33,3.5,4.5,4,4,3.75,3.4,4.5,4.5,5,3,3.75,4,2.58,3.25,2.5,2
44,24,2,1,4,2,100,2,2,2,0,5.59,5.4,6.33,5.4,5.5,6.14,6.5,5.67,3.5,3,4,3.67,3,4.33,2.33,3,3,2.67,3.5,2.75,3,3.5,2.5,4,2.33,1.75,3.67,2.17,2.5,1,3
45,23,2,1,3,0,100,3,1,2,0,6.35,6.2,6.33,6.2,6.75,6.43,6.25,6.67,4.5,5,4,1,1,1,5,2.25,1.5,2.33,1,3.75,1.6,1,1,1,3,1,3.67,3.36,4.75,2,3.33
46,25,2,3,2,3,170,3,3,2,0,4.71,4.6,4,5.4,4.5,6.57,6.75,6.33,2.67,3,2.33,3.08,2.5,3.67,3.67,3.5,2,3,2,3.5,2.2,2,2.75,3,1.33,3,3,2.89,4.5,1.5,2.67
46,42,2,1,5,3,100,10,2,3,1,7,7,7,7,7,6.14,7,5,3.33,3.33,3.33,2.92,1.33,4.5,2.33,4.5,2.5,3,5,5,4.4,4.5,3.5,4,3.67,4,3.33,1.92,2.5,1.25,2
47,33,2,1,6,1,125,2,3,2,0,5.53,5.2,5.33,5.6,6,6.71,7,6.33,3,3,3,3.42,2.83,4,3,2,2,3.67,4,3,3,3,2.5,2,2,1,4,3.14,4.75,1,3.67
47,32,2,4,1,0,100,3,3,3,1,6,5.6,6.67,6,6,6,6,6,3.83,3.67,4,1.67,1.33,2,4,3.5,2.5,3.67,1,2,2,2,2.75,5,2.33,2,2.33,2.67,4,2,2
50,25,1,1,2,2,50,3,4,2,1,5.47,5.2,5,6,5.5,5.43,5,6,2.67,2,3.33,3.25,2.83,3.67,3.67,3,2,3.33,2,3.75,2.8,3.5,3.75,5,2.33,3,3,2.5,4,1.5,2
51,26,2,3,3,3,110,3,2,2,0,6.65,6.4,7,7,6.25,4.86,4,6,1.33,1.33,1.33,5.17,4.33,6,1,4.75,4,5,1,4.25,3.2,5,5,5,3.33,5,1,1.58,2.75,1,1
51,36,2,1,4,1,100,3,1,2,1,5.35,5.2,5,5,6.25,5.86,6,5.67,4,4,4,1.75,1.67,1.83,3.67,2.75,2,3.33,4,2.75,1.2,2,2,3,1,1.25,3.33,2.64,2.25,2,3.67
52,31,2,4,2,2,250,2,3,2,0,5.88,5.6,7,5.8,5.5,6.86,6.75,7,3.67,3.33,4,2.92,2.67,3.17,2.67,4.25,3.5,4.67,1,4.75,4.4,3,4.25,3,2,5,2,1.75,2.25,1,2
54,25,2,4,4,2,350,2,1,2,1,5.47,5.8,5.67,5.4,5,5.29,5,5.67,3,3.33,2.67,2.83,2.67,3,3.67,2.25,2.5,3,4,3,2.2,2,2.25,2.5,2.67,2.5,3,2.03,2.75,1,2.33
56,24,2,3,3,1,3,3,4,3,1,5.88,6,6,6,5.5,6.86,7,6.67,4,4,4,1.92,1.33,2.5,4,2.25,5,2.33,3,2.75,1.2,3.5,3.75,5,3.67,3,4,2.5,1,2.5,4
57,47,2,2,2,2,150,2,2,2,0,5.88,6.8,4,5.2,7,6.57,6.25,7,2.83,3,2.67,4.33,4,4.67,3,4.75,4,4.67,2,3.5,4.6,3,2,5,2.67,4.5,5,1.81,2.75,1,1.67
59,22,2,5,3,2,200,2,1,2,0,6.35,6,6,7,6.25,6,5.5,6.67,2.17,2.67,1.67,3.25,2.5,4,3.33,2.75,2.5,3.67,2.5,3.5,3,3,2.5,3.5,3,2.25,4,3.08,3.5,2.75,3
60,30,2,1,4,3,140,3,1,2,0,5.71,5.2,5.33,5.8,6.5,7,7,7,3.67,3.33,4,2.33,2.33,2.33,3.33,3.5,2.5,2.67,4,3.25,2.2,2,2.75,5,3,2,3.33,2.78,4,2,2.33
61,47,2,1,3,3,140,3,1,2,0,4.71,5,5.67,4,4.5,4.86,4.25,5.67,2.67,2.67,2.67,3.58,2.67,4.5,4,5,3.5,4,2,2.75,2,2.5,2.75,5,2.33,2.25,4,2.53,3.25,1,3.33
63,26,2,1,5,2,85,3,1,2,1,5.18,5.4,5.33,5,5,5.29,4.75,6,1.33,1.67,1,3.58,2.33,4.83,2,3,2,3.33,3,3,3,3.5,3.25,4.5,2.67,4,5,2.08,3.25,1,2
66,37,2,1,4,3,200,3,2,2,0,6.76,6.6,6.67,7,6.75,7,7,7,1.67,2,1.33,3.83,3.17,4.5,2.67,4.5,4,5,4,5,4.8,5,4,5,1,1,4,2.22,4,1,1.67
